post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
172856027.inside-hitlers-mind-the-first-political,2025-09-05T14:02:29.713Z,true,2025-09-05T14:02:29.814Z,2025-09-05T14:02:29.814Z,newsletter,everyone,Inside Hitler’s Mind: The First Political Psychological Profile,"How a secret wartime study shaped strategic intelligence, leadership studies, and the psychology of power",
172554097.the-psychology-of-poetry-why-poems,2025-09-02T14:30:28.905Z,true,2025-09-02T14:30:28.991Z,2025-09-02T14:30:28.991Z,newsletter,everyone,The Psychology of Poetry: Why Poems Move Minds,"How reading and writing verse can lift mood, sharpen thinking, and help us make sense of life",
172547126.c70,,false,,,newsletter,only_paid,,,
172385537.5-fabulous-facts-all-psychology-lovers,2025-08-31T09:21:13.152Z,true,2025-08-31T09:21:13.246Z,2025-08-31T09:21:13.246Z,newsletter,everyone,5 Fabulous Facts All Psychology Lovers Should Know,"Psychology is full of surprises, and these five facts show just how wide and wonderful the field can be.",
171834962.psychology-classics-75a,2025-08-25T14:24:16.991Z,true,2025-08-25T14:24:17.075Z,2025-08-25T14:24:17.075Z,newsletter,everyone,Psychology Classics,Rational Psychotherapy and Individual Psychology by Albert Ellis,
171690092.why-we-judge-too-quickly-understanding,2025-08-22T22:49:58.051Z,true,2025-08-22T22:49:58.158Z,2025-08-22T22:49:58.158Z,newsletter,everyone,Why We Judge Too Quickly: Understanding the Fundamental Attribution Error,How a common thinking trap shapes the way we see others and ourselves,
171381653.jungs-red-book-searching-for-meaning,2025-08-19T18:24:35.212Z,true,2025-08-19T18:24:35.344Z,2025-08-19T18:24:35.344Z,newsletter,everyone,Jung’s Red Book: Searching for Meaning in Times of Crisis,How Carl Jung faced his inner collapse and what it reveals about our own struggle for meaning in uncertain times,
171272082.psychology-classics-484,2025-08-18T14:12:17.200Z,true,2025-08-18T14:12:17.299Z,2025-08-18T14:12:17.299Z,newsletter,everyone,Psychology Classics,Lightner Witmer’s 1907 blueprint for clinical psychology,
171131282.echoism-why-you-put-others-first,2025-08-16T15:33:56.483Z,true,2025-08-16T15:33:56.581Z,2025-08-16T15:33:56.581Z,newsletter,everyone,Echoism: Why You Put Others First,"What it means, where it starts, and how to speak up without feeling selfish.",
170956213.all-about-psychology-newsletter-096,2025-08-14T14:30:03.729Z,true,2025-08-14T14:30:03.821Z,2025-08-14T14:30:03.821Z,newsletter,everyone,All About Psychology Newsletter,The surprising psychology of spoilers. The Stanford Prison Experiment Begins. The Anchoring Effect.,
